Id,tweet,sentiment
1,.finna enjoy thiz rainy day...maybe put ah couple in tha air.!!,3
2,"#weather Arvada, Colorado Weather :: 55F MOSTLY CLOUDY {link}",2
3,News you can use to do good in Austin. Enjoy the new issue of GivingCity on this rainy day. Click here to open. {link},2
4,"quarter size hail will be possible with thunderstorms moving into Dickenson and Buchanan counties...just north of Clintwood to Grundy, VA",2
5,Isolated rain and snow showers moving south of Reno-Sparks. Expecting snow accum to melt very quickly today. High 53/Low 36.,2
6,Stupidd Ass Weather Makes Me Wanna Go Sleep!,1
7,"@mention keep midwest in ur prayers! major storm outbreak happening now into tomorrow! a ""land hurricane"" please RT! thx 4 support",2
8,42.3 degrees and 98% humidity. #notagoodcombination #uncomfortable,1
9,#WEATHER: 2:51 am E: 60.0F. Feels 59F. 29.93% Humidity. 9.2MPH Northeast Wind.,2
10,Fuck off depressing weather ): I just wanna go back to bed right now.,1
11,What is with this weather.  Please make up your mind.,1
12,@mention Georgia folks can't help but stick together! Thank you for the Congrats!!! PS- What about this cold weather in MAY. Ridiculous!,1
13,#WEATHER:  1:53 pm : 85.0F. Feels F. 29.89% Humidity. 16.1MPH South Wind.,2
14,The Severe Thunderstorm Warning has expired for Rush and Shelby counties. {link},2
15,Thunderstorms during the day are the best. Especially when I can lay in bed and eat brownies and ice cream. #lazy #fat #okwithit,3
16,"@mention have a beautiful time, soaking in the sunshine!",3
17,Lmmfao RT @mention: My phone say it 87 Degrees outside. They lying. I opened the door and started sweating...HARD,1
18,This weather can suck it!,1
19,"@mention Thanks, but I'm good. It's actually warm out there. Nice night it just looked bad from the office window.",3
20,Today is  just too hot to be outside #ugh,1
21,Such a pretty day out! #sunshine,3
22,RT @mention: No damage reports from weak tornadoes on front edge of thunderstorms. A few reports of thunderstorm wind damage coming in. #sdwx,2
23,Dude. It is finally sunny. Take some PTO this afternoon and hit the courses @mention  The time is now.,3
24,#WEATHER: 3:52 pm E: 80.0F. Feels F. 29.94% Humidity. 3.5MPH Variable Wind.,2
25,@mention  40 rainy and cold. North Dakota,2
26,It is soooo nice out. Hello summer weather!,3
27,@mention  do you have a basement?  Be safe. Weather here is one big T Watch.,2
28,Hmm...I think it's windy outside...#obviously,2
29,@mention Thank you! I just got to NYC and the weather is gorgeous! Hope you are having a good day.,3
30,This Inconsistent weather is irritating...,1
31,@mention i did lol i mean i missed this weather!!,3
32,"Holy crap, 93 degrees and humid where have you been?!?  I've missed you!",3
33,"RT @mention: Source says WFAA is not going with weather coverage, but running Dancing With The Stars despite the D/FW tornado warnings. Su ...",2
34,I'm going to enjoy the last fee days of cool weather before it's gone,3
35,Bruises on my knees are starting to show. Gorgeous. Good thing the weather sucks enough that I won't be wearing shorts anytime soon #klutz,1
36,It's 49 degrees and gray in Chicago. It's due to start raining at any moment. Call us for a great deal today! Here until 4:00-800-533-3923,2
37,Severe Thunderstorm Warning for Henry and Pettis County in MO until 6:45pm CDT. #mowx,2
38,RT @mention: Area Under Severe Thunderstorm Watch {link} #DC,2
39,Tropical Storm #Aere claims several lives in Philippines:  {link},2
40,"RT @mention: Clouds, sun and a spot shower today. Windy with high pollen too.  55-61 degrees.  NEWS8 5AM-8AM",2
41,It is windy as fuck on Garden Street today...,1
42,"@mention thank you, the storm finally passed... I'm still upset though, I didn't get to go out and shake my shiny booty :(",1
43,look like it's gonna be a sunny Saturday!(;,3
44,"Clouds, fog, & a few scattered showers this morning...escalating to a greater storm threat this afternoon... possibly severe. Highs: mid 70s",2
45,RT @mention: It'll be sunny again by time you land RT @mention: Every time I think about going back to Portland it starts ra ...,2
46,"Thanks @mention RT: "" rainy weather makes for bad hair days. not anymore thanks to @mention. so cute {link} """,1
47,@mention I'm envious..... perfect napping weather this is.,3
48,"Big Rock, Tenn. Hit Hard by Monday's Severe Weather: Severe storms are causing problems in Middle Tennessee toni... {link}",2
49,gahh could the weather GET any more BEAUTIFUL?!,3
50,"Current Hartsburg, MO 65039 Weather Forecast - {link}",2
51,This rainy day reminds me of Chile in the winter :) ain't so humid surprisingly! Actually quite cool :) I like.,3
52,"RT @mention taking full advantage of the slow work day, nice weather to watch @mention play ball... {link}",3
53,"@mention I know! This weather is shit, hopefully by the time mack opens will have good weather :)",1
54,Bloody freezing out!,1
55,"90 degrees, sunny, beach weather...  The perfect day for a hockey game... #gobolts #bruins",3
56,Finally good weather at this school.. Bout to relax and enjoy it...,3
57,Mexico=amazing. I can't even explain how gorgeous the weather is right now!,3
58,RT @mention: Nice windy day today!,3
59,its so hot outside. Blah,1
60,This weather is making me angry.,1
